Review_Date,Author,Rating,Review_Title,Review,Review_Url
59,7 November 2021,biswasarjun,10, Another Masterpiece from Suriya,"Excellent Movie,,Full Family pack Drama,, Emotional,, Superb Storyline,,,Brilliant Screenplay & Dialogue Delivery... ( Must watch Movie)👌👌👌👌
All the characters are give their best performance...",
60,4 November 2021,royalmanideeppaisa,10, Really amazing just watch it,"Movie is so good
You'll not see Actor Suriya in the movie it is just lawyer chandru
Suriya lived in the character and the whole cast done well
You can't see a hero in the film it is a character in the movie
Director done a pretty good
Overall the movie is worth watching
Don't miss the movie.",
61,2 November 2021,dipin-bt_86,9, DB REVIEW....Great movie..tamil film at its finest,Great movie.one of the best in suryas career .top notch performances from all the actors .realistic approach to the subject .Great direction. It doesn't feel like a film it has life .the sorrow and miseries the characters had throughout is not just for the screen .it is wholesome felt at heart .,
62,4 November 2021,abduljouhar,10, Finest one in 2021.,"It's based on real story... And Suriya, Lijomol, Prakash Raj, Manikandan and each and Everyone gave 100%. Truly Inspiring, Suspenseful, Heartbreaking Movie. #MustWatch",
63,4 November 2021,surajramteke-71729,10, Really great movie,Gripping story great acting great writing it is a really great movie to watch I am suggesting everyone to watch this movie and after that you are going to give it 10-star rating and the movie totally deserve it so just go and watch the movie.,
64,28 January 2022,Thanos_Alfie,8, Simply amazing...,"""Jai Bhim"" is a Crime - Drama movie in which we watch a man being accused and arrested as a thief. His wife with the help of a lawyer try very hard to bring justice and find out what exactly happened.",
65,8 November 2021,surya-pratap120,10, Showing the truth,One of the greatest movie i have watched in recent times. Suriya done an excellent job here. Storytelling also at top notch. Casteism is a problem in India. So many people have gone through this.,
66,5 November 2021,BabySharkDoDoDie,8, A No-nonsense Courtroom Drama,"One of the best movies I've watched this year from South Indian cinema. Suriya was outstanding & every other supporting cast did an amazing job. The only problem is that it gets predictable but the fact that it is based on real events it never loses your interest as it is well-written, directed, acted & performed which makes it a must watch.",
67,2 November 2021,Dr_Manoputhran,10, JAI BHIM is an uncompromised realistic Cinema!,Hats off to Suriya and Director T. J. Gnanavel for bringing this excellent product to limelight. Jai Bhim's story and screenplay are well crafted with masterful Direction! The movie is in top form for 95% of its run time.,
68,2 November 2021,UmeshAditya,10, A movie that deserves all the possible awards!,An extremely well made movie based on a true story of 1995 deserves all the possible awards. Intense court room drama that makes one think seriously on the social cause of inhuman treatment of tribals! Must watch by each one.,
69,18 November 2021,msmcalvin,10, Superhit,"Its not awesome, Its beyond that. Its a very very interesting movie. Its really thrilling. Everyone must watch. Thanks to the directior, script-writter, actors. U guys rocked it. Best.",
70,10 November 2021,vineethbattu,10, Moved to the core!,"Extremely intense story with mesmerize execution, surya sir and all the other actor's acting is filled with pride, for sure humanity in your heart gonna be touched at the end of the movie
Moved to the core, everyone must watch it.",
71,2 November 2021,AthreyaBodhidharmar,10, Indian cinema at it's best,Suriya is invinsible if the movie is based on true events and he strikes again with a power packed role. He lets his stardom stay at the door and gives the story the lead. Unbelievably great film filled with emotions. This film is beyond entertainment and could impact societies in useful ways.,
72,5 November 2021,Alien901,10, Good movie,"Every indian Cops must watch this movie and understand, what's a value of every life.",
73,2 November 2021,starebishan,10, JaiBhim Justice justified.,JaiBhim Justice justified. Salute the deserved man justicechandru. What a film can't control the tears while watching. Actorsuriya 's eyes enough to say the real pain of the truth.,
74,6 November 2021,badaamit,10, For true filmy,After Soorarai Pottru Suriya back with movie based on true event/incident the movie is very good for a person loving courtroom drama film & the entry of Suriya in court background music is too good clearly it is a must watch movie pls watch it....😍😍😍,
75,8 November 2021,danishali-31236,10, Suriya movie unique concept and content,"Suriya what a performance , surya ki movie kaafi meaningful Hoti hai and is movie me mass , class dono dekh ne ko Mila Mene aaj tak aisi movie nhi dekhi south industry very well work and salute to be proud Indian cinema.",
76,2 November 2021,rehman-38960,10, Must watch...!!!,Surya at its best in this movie. Amazing Script and Amazing performances by all the Cast.,
77,6 November 2021,hariharan-83045,10, National award ready,Excellent performance from everyone. This movie scores well in each and every department. Happy to see such wonderful flim from Tamil industry after long time. Definitely this movie will get national award.,
78,7 November 2021,gaikwadashok-99218,10, A Must Watch,What a masterpiece. This movie is greatly depicts the real situations of minorities in India. Based on true events .I loved this movie. Jai Bhim.,
79,7 November 2021,harshalsable,10, SPEECHLESS. NOT FOR WEAK HEARTED.,This movie shows the power of LAW.,
80,11 November 2021,cooldwijen,8," Solid acting, plot and dialog",This is why southern movie industry is by far the best in India. The movie has a raw appeal and touches your core in ways you wouldn't have realized. A movie everyone should to remove the social barriers and dogmas that is plaguing our society.,
81,5 November 2021,shyamkarnake,10, Oscar,"Its Oscar winning Masterpiece...there is no reason to hate these movie......You need Daring to make movie like these.....
....a gr8 movie gr8 acting by alll....gr8 execution......gr8 script made on original case.",
