Review_Date,Author,Rating,Review_Title,Review,Review_Url
45,29 June 2012,Rodrigo_Amaro,10, Much more than just a fighting movie. Brilliant in all senses.,"It's a shame that in the past they gave all the Oscars to ""Rocky"" but they couldn't recognize a wonderful job like ""Warrior"". That movie is good but completely egoistical in terms of story, just a man and his will to fight and survive; ""Warrior"" is about two men, their will and fight to survive AND help others. That's important, very noble and what really defines the greatness of the film.",
46,25 April 2013,g-bodyl,10," Excellent, Powerful Film!","Despite many clichés we have come to see in sports movies, I can't help but love this movie, Warrior. I find this film to be a tad better than 2010's The Fighter, another great movie. I find it a crime that this movie was overlooked by moviegoers and the Academy. Why it did so poor at the box office is beyond me. I saw this film knowing what it was and I was rewarded with a tense sports drama that features many important themes on family and hard work.",
47,11 August 2012,baberchik,2, Overrated classical American feelgood movie,"First off - great camera-work, hence the 2. Now for the core of the movie - brother vs brother is a fun plot that can be twisted every which way. However as soon as some obviously fake Russian character is introduced with the completely out of place Visotski song playing in the background... the pieces start falling in place. This is a classical American tearjerker feelgood movie. The idea alone of a classic underdog has been made into film 100 times better in Rocky, where not the selfish victory but ""all-in"" attempt at it is what really counts. A battle that could not be won, yet one does not give up. This is the opposite. What could have been a very dramatic (and believable! and almost heartbreaking!) plot of two brothers pitted against each other is washed down the tubes. For someone who has a moderate interest in MMA it is clear the the ending was completely unrealistic and would have never taken place. This is not 1900's, today people are not beaten to within an inch of their life in the ring. To contrast this to any VanDamme flick - think of this movie being a much better attempt at a fighter movie, minus actual fighters who have no acting skills, but add to it American superiority complex and you have the ""warrior"". Overrated, and sad to say this ""warrior"" won in the ring but lost to idealism.",
48,4 June 2020,reddiemurf81,8, One of the top movies in the last decade!!,"Where to start? The performances of Nolte, Hardy, and Edgerton were outstanding, as well as were Grillo and Morrison.",
49,29 September 2011,TourettesPersonal,8, The Bromance Fight,"My first glance, I thought it's gonna be like The Fighter since this film is about fighting sports and there's a brother relationship. But here, the brothers are against to each other. The film doesn't really spend so much time dealing with their relationship. It mostly goes to the father of the main leads. The film is unnecessarily long but the third act has plenty of exciting MMA fights. If you're expecting this to be like The Fighter then you'll be disappointed. But Warrior has its own drama piece.",
50,8 February 2015,brchthethird,9, Intense and inspirational - a real winner of a sports drama,"As I've probably mentioned before in the handful of reviews I've done for sports movies, I'm not the biggest fan of sports or sports movies in general. Still, I know a good film when I see one and WARRIOR is more than that: it's excellent. Befitting a film that deals with MMA and despite the PG-13 rating, it doesn't pull its punches physically or emotionally. This is probably one of the most intense movies I've seen from a visceral standpoint and on an emotional level. Without getting into too many specifics, the story is about two brothers who have been separated and on the outs for quite a long time. Due to personal circumstances, they both (inadvertently) enter the same MMA tournament and deal with relationship issues that have gone long unaddressed. The two leads, Tom Hardy and Joel Edgerton, both do an awesome job with the dramatic material while also bringing a believable physicality to their fight scenes. Although they are filmed and edited in a rather chaotic style, I thought that it worked here even if it came with the slight loss of comprehensibility. For the most part, however, you get to see all of the punches, throws and takedowns from a variety of perspectives. Also lending some dramatic heft to the film was veteran actor Nick Nolte, who plays the brothers' father, also on bad terms with his sons for a variety of reasons. He was as fleshed out as were the two siblings and even gets a couple moments that seemed Oscar-worthy. In general, this wasn't some mindless story with a bunch of fight scenes strung together. Every fight had a purpose for the overall story, and there was plenty of back story for each main character to get you fully invested. So much so, that by the time the end comes around you don't know who to root for because they both have such strong motivations. It's like the Sophie's Choice of fight films. My only complaint, which is minor at best, is that once it does come around to the conclusion it lays on the melodrama a bit thick, and the final moment in the ring which was backed by an acoustic song had me rolling my eyes a little bit. Still, this was a powerful drama with incredibly brutal fight scenes that actually meant something. Even if you don't normally go for sports movies, this is one of the few that transcends that genre's limitations and manages to be inspirational without pandering. Highly recommended.",
51,20 December 2021,djurrepower,6, ok,"A well made film, but maybe a little cliched from time to time. The money problems, the troubled history, the wife, the father ect. Tbh I've seen it maybe too many times by now, so I wasn't all that interested. But overall, it was fine.",
52,10 February 2020,stormbailey,10, Excellent and Unique,Amazing movie in every-way! You haven't seen a movie like this.,
53,3 June 2019,nicholls905-280-546911,10, Forgotten gem,"Missed this in the cinema, but found it on DVD. Incredible emotional film that plays out like the Rocky for the new generation. Strong actors deliver one of the biggest surprises for 2011. It is a shame this failed at the box office, but it has found a strong cult following since its release on DVD.",
54,10 May 2021,hifiman-62270,9, Wow..how did I miss this,I am not a UFC fan but this was amazing..brutal. Great story. Exciting. Fantastic performances all around. I can't believe it took me 10 years to watch it....,
